id,name,description,category,base_en,base_tp,op_1_desc,op_1_en,op_1_tp,op_2_desc,op_2_en,op_2_tp,op_3_desc,op_3_en,op_3_tp,type,mechanic,percentage,duration,defense
117,True Resurrection,"Speak the name of a dead target and return it to life with maximum Health and any missing body parts restored within the range of this Power, as long as the target died within the last one-hundred years. This Power part takes 1 hour to use.",Adaptation,165,25,+40 EN for each additional 100 years the target has been dead.,40,1,,,,,,,Power,false,false,false,
118,Ward from Death,"When target would enter the dying condition, they instead drop to 1 Health. This effect lasts for 8 hours but ends when used.",Adaptation,15,2,,,,,,,,,,Power,false,false,false,
119,Irreducible Max Health,Target cannot have its health reduced below its maximum Health.,Adaptation,4,2,,,,,,,,,,Power,false,false,false,
120,Stasis,Target dead creature stops decaying completely and cannot rot any further. Any Power or feat that requires a target has been dead less than a certain amount of time can affect this creature as if it had only been dead for as long as it had when this Power was used. Target's affected this way cannot be raised as undead creatures.,Adaptation,10,2,,,,,,,,,,Power,false,false,false,
121,Feign Death,"Target creature enters a death-like state that is only perceivable as death unless perceived with Powers and feats that reveal the creature is alive. The target must be willing, and gains the blinded condition for the duration. Target has resistance to all damage other than psychic for the Power's duration and cannot gain the weakened condition. Persists for 1 hour.",Adaptation,12,2,,,,,,,,,,Power,false,false,false,
122,Suppress Healing,Target is unable to regain health for the duration of the Power.,Adaptation,4,2,,,,,,,,,,Power,false,false,false,
123,Permanent Damage,"75% EN: Target's maximum health is reduced by an amount equal to the damage dealt by this Power when initially used, to a minimum of 1.",Adaptation,1.75,2,,,,,,,,,,Power,false,true,false,
124,Speed Increase,Increase target's Speed by 1.,Adaptation,3,2,"+2.5 EN per each additional +1, to a maximum of +10 from this part.",2.5,1,,,,,,,Power,false,false,false,
125,Adapting,Target creature gains a feat for the duration.,Adaptation,6,2,"+1 TP, +6 EN for each additional feat, up to a maximum of 3 feats gained from this part.",6,2,,,,,,,Power,false,false,false,
126,Ability Increase,Increase the target's Ability by +1 for the duration. No ability can be increased above 10 using this part.,Adaptation,12,2,"+7 EN for each additional +1 to the ability, to a maximum of +8.",7,1,+3 EN to increase the maximum increase cap by +1.,3,1,,,,Power,false,false,false,
127,Jump,Double target's jump distance. +2.5 EN To triple it instead.,Adaptation,4,2,+2.5 EN To triple it instead.,2.5,1,,,,,,,Power,false,false,false,
128,Skill Sharpen,Increase target's Skill by +1 for the duration. No skill can be increased above 10 using this part.,Adaptation,3,2,"+2.5 EN for each additional +1 to a Skill, to a maximum of +8 from this part.",2.5,1,+1 EN for each +1 increase to the skill increase maximum.,1,1,,,,Power,false,false,false,
129,Debuffing,Decrease target's Ability by -1 for the duration. No ability can be decreased below -5 using this part.,Adaptation,6,2,+4 EN for each additional -1 decrease to an Ability.,4,1,+6 EN for each -1 increase to this maximum.,6,1,,,,Power,false,false,false,
130,Leave No Tracks,Target leaves no tracks or noticable signs of presence to be tracked by natural means.,Adaptation,2,2,,,,,,,,,,Power,false,false,false,
131,Restore,End or decrease by 1 a chosen condition on the target. This condition must be chosen when you create this Power.,Adaptation,4,2,+2.5 EN for each additional level of a condition you decrease.,2.5,1,,,,,,,Power,false,false,false,
132,Greater Restore,End or decrease by 1 a condition of your choice on the target.,Adaptation,9,2,+5 EN for each additional condition or level of condition.,5,1,,,,,,,Power,false,false,false,
133,Ability Restore,"Target may restore any number of their values (maximum health, energy, abilities, and so on) to their normal value.",Adaptation,7,2,,,,,,,,,,Power,false,false,false,
134,Enhancement,Add +1d2 to each Ability or Skill Roll or Score of the target's choice used during the Power's duration.,Adaptation,2.5,2,+1.5 EN for each additional +1d2.,1.5,1,,,,,,,Power,false,false,false,
135,Deafen,Target becomes deafened. Target's Fortitude.,Adaptation,4,2,,,,,,,,,,Power,false,false,false,
136,Bane,"Apply -1d2 to a Defense, Attack type (e.g., Strength or Agility attack), Potency, or Skill of your choice used during the Power's duration. You may choose to have this affect all defenses but end the first time it is used to lower a defense.",Adaptation,3,2,+1.5 EN for each additional -1d2 decrease.,1.5,1,,,,,,,Power,false,false,false,
137,Weakened Strikes,Decrease target's damage by 1d2.,Adaptation,1.5,2,+1.5 EN for each additional 1d2 damage reduction.,1.5,1,,,,,,,Power,false,false,false,
138,Battle Disable,"Decrease the target's attacks by 1. Targets your choice of Fortitude, Resolve, or Mental Fortitude which you choose upon making this Power.",Adaptation,2.5,2,+2.5 EN for each additional decrease of 1.,2.5,1,,,,,,,Power,false,false,false,
139,Shield,"Create a shield localized to a target which takes damage before they would at the cost of its Health. Target applies all damage to the shield before accounting for their resistances, vulnerabilities, and reductions.",Adaptation,0,2,1.5 EN For every 2 Health of shield created.,1.5,1,"+1EN to add an element (Fire, Ice, Lightning, Poison) to the shield giving the shield resistance to that element, and vulnerability to the opposite element.",1,1,,,,Power,false,false,false,
140,Weaken,Target gains the weakened 1 condition.,Adaptation,2.5,2,+2.5 EN for each additional level of weakened condition applied.,2.5,1,,,,,,,Power,false,false,false,
141,Expose Vitals,Decrease target's critical range by 1 to a maximum of -10 from this part. Target's evasion.,Adaptation,7,2,+6 EN for each additional -1 to critical range.,6,1,,,,,,,Power,false,false,false,
142,Weapon Damage Boost,"Increase weapon damage dealt by target by 1d2 equal to the damage type of your choice, or the damage type they deal normally.",Adaptation,2.5,2,+2.5 for each additional 1d2.,2.5,1,,,,,,,Power,false,false,false,
143,Purify,"Remove a potion effect from an area, or object. You may choose to specify to remove any or a random effect if you are unaware if there is one (i.e., purifying food from a poison, even if you're unsure there is any.)",Adaptation,4,2,,,,,,,,,,Power,false,false,false,
144,Darkvision,Target gains darkvision out to 6 spaces.,Adaptation,2.5,2,+2.5 EN for each additional 6 spaces of darkvision.,2.5,1,,,,,,,Power,false,false,false,
145,Enlarge,Increase willing target's size by one level. Target's evasion if unwilling.,Adaptation,6,2,,,,,,,,,,Power,false,false,false,
146,Shrink,Decrease willing target's size by one level. Target's evasion if unwilling.,Adaptation,4,2,,,,,,,,,,Power,false,false,false,
147,Gas Form,"Target willing creature transforms, along with anything they are wearing or holding, into a cloud of mist for a set duration. This Power ends early if the target's Health reaches 0 or if they use a basic action to end the transformation themselves. While in this mist form, the creature's only movement is flying with a speed of 2 spaces. They can move through other creatures' spaces, resist Bludgeoning, Piercing, or Slashing damage (but are still susceptible to damage from force or area effects). Target can only pass through spaces if those are not sealed off, but even they may pass through air-tight doors or gaps where they can fit. Other creatures cannot follow the target, except if they have certain abilities or specialized Powers.",Adaptation,13,2,,,,,,,,,,Power,false,false,false,
148,Guided,Ignore the effect s of one level obscurity when targeting a creature with this Power.,General,1.5,2,=+1.5 EN for each additional level of obscurity ignored.,1.5,1,,,,,,,Power,false,false,false,
149,Invisible Power,"Power is invisible, the location of its effect cannot be seen, nor can its path of travel and so on.",General,3,2,,,,,,,,,,Power,false,false,false,
150,Subtle Power Use,You use the Power undetected. Creatures cannot perceive you are using a Power or are the one who used it. Creatures can roll discernment against your potency to attempt to perceive you as the Power user.,General,4,2,,,,,,,,,,Power,false,false,false,
151,Cause to Lose Focus,"Target loses focus. Targets any defense of your choice other than evasion that's already a part of the Power, otherwise this targets mental fortitude or resolve.",General,3,2,,,,,,,,,,Power,false,false,false,
152,Dousing,Power douses exposed flame in the area that aren't an active Power. This can still be used to counter active fire Powers.,General,1.5,2,,,,,,,,,,Power,false,false,false,
153,Flammable,"The area or creatures your Power affects are flammable while the Power affects them. If touched by fire, the area or creature ignites, taking 1d4 fire damage each turn until an interaction is taken to put the fire out.",General,1.5,2,,,,,,,,,,Power,false,false,false,
154,Relocate Power,"As a basic action, you may move this Power to a new location within half its range, without affecting any creatures or objects along the path.",General,1.5,2,+1.5 EN to use a quick action instead.,1.5,0,+3 EN to use a free action.,3,0,+3 EN to affect all creatures and objects on the path to the new location.,3,0,Power,false,false,false,
155,Interaction,"You take the interact action as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free action.",Actions,2,2,,,,,,,,,,Power,false,false,false,
156,Ability Roll,"You take the ability roll action as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free action.",Actions,2,2,,,,,,,,,,Power,false,false,false,
157,Evade,"You take the evade action as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free action.",Actions,4,2,4 EN for each additional time you take the evade action as part of this Power up to 4 times.,4,1,,,,,,,Power,false,false,false,
158,Brace,"You take the brace action as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free action.",Actions,4,2,4 EN for each additional time you take the brace action as part of this Power up to 4 times.,4,1,,,,,,,Power,false,false,false,
159,Focus (Action),"You take the focus action as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free action.",Actions,5,2,5 EN for each additional time you take the focus action as part of this Power up to 4 times.,5,1,,,,,,,Power,false,false,false,
160,Search/Detect (Action),"You take the search or detect action as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free action or reaction.",Actions,4,2,,,,,,,,,,Power,false,false,false,
161,Stealth/Hide (Action),"You take the stealth or hide action as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free action.",Actions,9,2,7 EN to sustain this action on future turns without any action points for the duration of the Power.,7,1,,,,,,,Power,false,false,false,
162,Combination Attack,"You take the combination attack reaction as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free reaction.",Actions,4,2,,,,,,,,,,Power,false,false,false,
163,Help (Reaction),"You take the help reaction as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free reaction.",Actions,4,2,,,,,,,,,,Power,false,false,false,
164,Defend,"You take the defend reaction as part of this Power. If this is the only Power part that is not a general part or Power mechanic, it can be taken as a free reaction.",Actions,4,2,,,,,,,,,,Power,false,false,false,
165,Outer Illusion,"Outer illusions make the outside world seem different in some way (e.g., creating the appearance of a chest, person, animal, tree, etc.). An outer illusion is an inanimate illusion occupying a single target space and cannot target a creature. If a creature has reason to suspect it is an illusion, they may roll Discernment against your potency to learn it is an illusion.",Illusion,5,2,+1 EN & 1 TP for each additional space the illusion affects.,1,1,+1 EN & 2 TP to add sound to the illusion.,1,2,+2 EN & 2 TP to add both sound and animation/in-place movement.,2,2,Power,false,false,false,
166,Massive Outer Illusion,"Outer illusions make the outside world seem different in some way (e.g., creating the appearance of a chest, person, animal, tree, etc.). An outer illusion is an inanimate illusion occupying a single target space and cannot target a creature. If a creature has reason to suspect it is an illusion, they may roll Discernment against your potency to learn it is an illusion. The size of this illusion is equal to the size of the Power's effect.",Illusion,13,2,+1 EN for each additional space the illusion affects.,1,1,+1 EN & 1 TP to add sound to the illusion.,1,2,+2 EN & 1 TP to add both sound and animation/in-place movement.,2,2,Power,false,false,false,
167,Inner Illusion,"Inner illusions make part of the world seem different in some way (e.g., creating the appearance of a chest, person, animal, tree, etc.) to a targeted individual. You may add other Power parts to this Power at 50% their energy cost to be part of the illusion, targeting mental fortitude instead of the normal defense. Any damage added is applied as psychic after applying resistances, vulnerabilities, and reductions. If a creature has reason to suspect it is an illusion, they may roll Discernment against your potency to learn it is an illusion.",Illusion,5,2,+1 EN for each additional space the illusion affects.,1,1,+1 EN & 1 TP to add sound to the illusion.,1,2,+2 EN & 1 TP to add both sound and animation/in-place movement.,2,2,Power,false,false,false,
168,Invisibility,"Make a willing target invisible for 1 hour. Targets evasion if the target is unwilling. Invisibility ends if the target uses a Power, Technique, or attack.",Illusion,12,2,,,,,,,,,,Power,false,false,false,
169,Combat Invisibility, Willing target becomes invisible. Targets evasion if unwilling.,Illusion,20,2,,,,,,,,,,Power,false,false,false,
170,Disguise,"Change how you look and what you appear to be wearing to others for 10 minutes. This change cannot make you appear a size larger or smaller than your actual size. If a creature suspects you're disguised, they may roll Discernment against your potency to learn you are disguised.",Illusion,9,2,+3 EN for every additional 5 minutes.,3,1,,,,,,,Power,false,false,false,
171,Blind,Target creature becomes blinded. Target's Fortitude.,Illusion,5,2,,,,,,,,,,Power,false,false,false,
172,Silence,"The space or target creature hit becomes completely silent. While affected, they gain the deafened condition and cannot use Powers that require the Charisma Power ability.",Illusion,7,2,,,,,,,,,,Power,false,false,false,
173,Scry Time,"Look 6 seconds (1 round) into the future. All attack actions, potencies, and defenses gain +3 during these rounds.",Illusion,9,2,+9 EN for each additional turn seen in the future.,9,1,,,,,,,Power,false,false,false,
174,Read Mind,"Read a target's immediate thoughts (what they are thinking about in that moment). You must roll a Power attack against a target's Discernment and succeed for them to not notice you are reading their mind. If you fail, they know you are attempting to read their mind and may roll Mental Fortitude against your potency, causing the Power to fail on success.",Illusion,9,2,+4 EN & 1 TP to know their deeper thoughts and plans.,4,2,"+8 EN & 2 TP instead to also know their deepest thoughts, secrets, intents, and desires.",8,4,+4 EN for each level of mind read (including first) for target to be unaware of your mind reading attempts.,4,1,Power,false,false,false,
175,Darkness,"Cause darkness to fill a specific area, lightly obscuring it. If cast on a light source, the light's radius decreases by 2 spaces for each level of obscurity. Light sources created by Powers instead decrease by 1 space for each level of obscurity.",Illusion,2,2,+2 EN for each additional level of obscurity.,2,1,,,,,,,Power,false,false,false,
176,Fog,"Create a thick cloud in a specific area (default 1 space), causing the area to become lightly obscured.",Illusion,2.5,2,+2.5 EN for each level of obscurity.,2.5,1,,,,,,,Power,false,false,false,
177,Modify Memories,"You alter the memories of a target. If the creature is engaged in combat with you, it gains +5 to overcome this effect. The target becomes stunned 10 and is unaware of its surroundings, though it remains able to hear you. If the target suffers damage or is affected by another effect or Power, this effect ends without modifying any memories. While the target is stunned, you may reshape its memory of an event that took place within the last 24 hours, provided the event lasted no more than 10 minutes. You can permanently erase the memory, make the target recall it with perfect accuracy, alter the details of the event, or implant a memory of a different event entirely. To modify the target's memory, you must describe the changes verbally in a language it understands. The target's mind fills in any inconsistencies in your description. If the energy's effect ends before you finish altering the memories, no changes take place. If completed, the modified memories take hold as this Power ends. A modified memory may not necessarily change the creature's behavior, especially if it conflicts with the creature's personality, alignment, or beliefs. Illogical memories, like fondly recalling a swim in acid, are dismissed as dreams or misremembered events. The Realm Master may decide if a memory alteration is too unreasonable to influence the creature. Targets Resolve.",Illusion,20,4,,,,,,,,,,Power,false,false,false,
178,Illusioned Power,"50% EN: This Power and its effects are entirely illusionary, although they still do the same things and have the same effect on the target as if it is really happening. Any damage the target takes still applies resistances and weakness of the damage type, but the actual damage that is applied is psychic. This means if you add fire damage to this Power and deal 5 fire damage to a creature weak to fire, it would take 10 fire damage instead, but if it was also resistant to psychic, it would reduce that 10 to 5. The entire Power and it's effect's target resolve instead of any other targeted defenses. The target cannot attempt to overcome this Power after being effected until it suspects that it may be an illusion.",Illusion,1.5,2,,,,,,,,,,Power,false,true,false,
179,Programmed Illusion,"Your illusion Power is programed to move, sound, and appear in a certain way for up to 5 minutes when used.",Illusion,4,1,,,,,,,,,,Power,false,false,false,
180,Dream,"You choose a creature you are familiar with in the same realm. You or a willing creature enters a trance state to serve as a dream messenger. While in this trance, the messenger becomes unconscious and its movement speed becomes 0. If the target is asleep, the messenger manifests in the target's dreams, allowing for conversation for the duration of the Power as long as the target remains asleep. The messenger can also shape the dream environment, creating landscapes, objects, and various images. The messenger can exit the trance at any moment, which ends the Power. The target will recall the dream in detail upon waking. If the target is awake when the Power is used, the messenger becomes aware of this and can either terminate the trance (and thus the Power) or wait for the target to fall asleep, at which point the messenger enters the target's dreams. You can choose to make the messenger appear terrifying to the target. If you do, the messenger can deliver a message of no more than ten words targeting resolve using your Power bonus. On a failed save, the target suffers no restorative benefits from its recovery and takes 1d6 psychic damage upon waking.",Illusion,22,4,+2.5 EN for each additional 1d6 psychic damage.,2.5,1,,,,,,,Power,false,false,false,
181,Enthrall,"Target gets -1 to Discernment and Acuity skills when trying to perceive anything or anyone other than you, or a willing creature within range. Targets Resolve.",Charm,0.75,2,+0.75 EN for each additional -1 to a maximum of -15.,0.75,1,,,,,,,Power,false,false,false,
182,Compelled Duel,"Target must overcome your potency with resolve each time it tries to attack a target other than you. If it fails, it may choose to use that action later in the turn to attack you instead, or it loses the action.",Charm,6,2,,,,,,,,,,Power,false,false,false,
183,Disagreeable,"Target feels that every piece of information they encounter is wrong and they disagree with this information. This can be an opinion, idea, fact, with any method of delivery; written spoken or telepathically delivered and so on. If more than one creature interacts with another who has this affect, they continually argue for the duration of the Power or until something causes them to stop interacting in this way. Target's Resolve.",Charm,5,2,,,,,,,,,,Power,false,false,false,
184,Disorient,"Target believe's the direction it's going is either the correct direction for their desired goal, or the opposite direction of their desired goal. If the creature can see the place they are desiring to go they gain +10 on the defense to overcome this affect. Targets Discernment or Resolve.",Charm,7,2,,,,,,,,,,Power,false,false,false,
185,Nondetection,"Target cannot be the target of any Power that would attempt to locate, or remotely see or perceive the target in any way.",Charm,9,2,,,,,,,,,,Power,false,false,false,
186,Body Swap,"You become the target creature and target creature becomes you, each taking the physical body and location of the other. You retain all mental abilities, but temporarily replace your physical abilities, defenses, movement speed, evasion, physically related racial traits and current/maximum health with the target's. You do not gain any of the target's proficiencies and each of your item's worn and carried remain on your body and do not travel with you to your new form. The same conditions apply to the creature in your form. You may still use Power's and Techniques known to you provided your new form allows it. You may choose to return to your form as a free action. Target's your choice of mental fortitude or resolve.",Charm,15,4,,,,,,,,,,Power,false,false,false,
187,Take-Over,"You gain control over 1 of the target creature's action points (AP) and may, as a reaction at the start of that creature's turn, spend an equal amount of your own action points to force the creature to take a specific action. When you first affect the creature, you immediately gain knowledge of all possible actions they can take. The action you cause them to take can be any that the creature is capable of performing. The affected creature can use it's remaining action points first, before you use the taken action points to perform actions. Targets Resolve.",Charm,8,2,"+11 EN & +1 TP for each extra AP, up to a maximum of 3 AP in total.",11,2,,,,,,,Power,false,false,false,
188,Compelling Sight,"50% EN: After the initial use of the Power causes a target to be effected, that target cannot attempt to overcome this Power's effect while they remain within the range of this Power and in line of sight of you or a creature you chose within range. This has no effect on a creature that does not have sight.",Charm,1.5,2,,,,,,,,,,Power,false,true,false,
189,Suggest,"You propose a course of action—explained in no more than 25 words—to a creature within range that can hear and understand you. The suggestion must seem reasonable and cannot involve actions that would obviously harm the target or its allies. For example, you might say, ""Retrieve the book about the evil-doers activities vault and hand it to me,"" or ""Cease fighting, leave this town peacefully, and do not come back."" This course of action is taken for the duration of this Power or until you or your allies cause the target harm. The target follows the suggestion to the best of its ability. If the suggested action can be completed before the Power's duration ends, the Power ends early. If the target is charmed by you they spend one additional action point on this movement until they are within 1 space of you. If the target is frightened of you they spend an additional action point moving away until they're in a location where they cannot move further. Target's Resolve.",Charm,12,4,,,,,,,,,,Power,false,false,false,
190,Compelled Movement,Target must spend 1 action point on it's turn to move away from or towards you in the quickest and safest route possible. Target's Resolve,Charm,4,2,+2.5 EN to increase this to 2 action points spent on movement instead.,2.5,1,"=+2.5 to force the creature to spend these action point(s) (if any) as a reaction, moving immediately instead. If the creature doesn't have action points to spend on reactionary movement, they must spend as many as they can now, then spend the rest as a reaction when they regain action points.",2.5,2,,,,Power,false,false,false,
191,Mind Break,"At the start of the target's turn they must roll Resolve against your potency (this does not count as their ability roll action). Every 5 under the potency results in that creature losing an action point. If they lose more action points than they have, then begin decreasing the amount of action points they regain at the end of their turn. Targets Resolve.",Charm,6,2,,,,,,,,,,Power,false,false,false,
192,Shift Focus,Target has a -1 on all attacks made against you for the duration.,Charm,4,2,+3 EN for each additional -1.,3,1,,,,,,,Power,false,false,false,
193,Curse,"Target has -2 to the Defense and Skill rolls of one ability of your choice when you use this Power. Targets Mental Fortitude, Resolve, or Fortitude. Power's can have multiple of this part if each targets a different Ability.",Charm,4,2,+3 EN for each additional -1.,6,1,+4 EN to also reduce Defense and Skill Scores of chosen ability.,4,1,,,,Power,false,false,false,
194,Communicate,"Gain the ability to communicate with animals, non-sentient creatures, or plants for one minute, being able to understand them, and them you.",Charm,2,2,+2 EN to extend this to one hour.,2,1,+6 EN to extend this to one day instead.,6,1,,,,Power,false,false,false,
195,De-motivate,Target gains the weakened 1 condition whenever attempting to pursue the course of action they were taking when this Power was used. Targets resolve.,Charm,4,2,+2 EN to increase the weakened condition by +1.,2,1,,,,,,,Power,false,false,false,
196,Escalate,"Any emotion currently being felt by the target is heightened, targeting resolve. Example: If the target is feeling angry at someone or something, their anger is escalated to the level of the aggravate Power part. If it was a Power-induced aggravation, the Power's effect is doubled.",Charm,4,2,,,,,,,,,,Power,false,false,false,
197,Vertigo,Target becomes faint. Targets resolve.,Charm,4,2,,,,,,,,,,Power,false,false,false,
198,Aggravate,Target becomes aggravated or more aggravated at a target of your choice that they can see for the round. Aggravated targets want to destroy the target they are aggravated at. +3 EN To cause the target to be angered towards any nearby target indiscriminately. Targets resolve.,Charm,4,2,"If the target is someone whom they are allied with, they gain a +8 bonus to their resolve to overcome this effect. +1.5 EN for each decrease of this bonus by 1.",1.5,1,+3 EN To cause the target to be angered towards any nearby target indiscriminately without granting a bonus to Resolve.,3,1,,,,Power,false,false,false,
199,Friends,Target considers you friendly if it was indifferent or warm to you before and not hostile. If the target overcomes this Power they are aware that you used a Power to try and influence them provided their intelligence is above -4. Target's Resolve.,Charm,6,4,,,,,,,,,,Power,false,false,false,
200,Indifference,"Target becomes indifferent toward creatures it was hostile at previously. This indifference ends when any hostile action is taken toward the target or it's allies from said creatures or their allies, or whenever the target takes damage. When the Power ends their attitude returns to what it was when the Power was used. Target's resolve.",Charm,4,2,,,,,,,,,,Power,false,false,false,
201,Charm,Target becomes charmed by you. Targets resolve.,Charm,5,2,2 EN for each additional creature you cause them to become charmed by. These additional creatures must be within the range of this Power.,2,1,"If the target is hostile toward you, they gain +5 to their resolve to resist this effect. +2 EN for each decrease of this bonus by 1.",2,1,,,,Power,false,false,false,
202,Immune to Take-Over,Target is immune to having their actions or movement be controlled or decided by another entity. If target already had this condition it gains +5 on rolls to overcome it.,Charm,4,2,#ERROR!,1,1,,,,,,,Power,false,false,false,
203,Immune to Frightened,Target is immune to the frightened condition. If target already had this condition it gains +5 on rolls to overcome it.,Charm,2,2,#ERROR!,1,1,,,,,,,Power,false,false,false,
204,Immune to Charmed,Target is immune to the charmed condition. If target already had this condition it gains +5 on rolls to overcome it. ,Charm,2.5,2,#ERROR!,1,1,,,,,,,Power,false,false,false,
205,Frighten,Target becomes frightened. Targets resolve.,Charm,6,2,,,,,,,,,,Power,false,false,false,
206,Mark Creature,Whenever you deal damage to the target creature you may add 1d2 to that damage. Targets resolve.,Charm,2.5,2,+2 EN for each additional 1d2.,2,1,,,,,,,Power,false,false,false,
207,Command Movement,You choose how a target uses 1 action point worth of the movement action or interaction as long as it's not directly harmful such as making a target run off a cliff.,Charm,8,2, +4 EN for each additional action point to a maximum of 3.,4,1,,,,,,,Power,false,false,false,
208,Wall,"Create a wall that is one space long and a half meter wide. The wall's evasion is 0 and has 5 Health but cannot be critically hit. Each space of the wall has its own Health. The wall can be shaped however you'd like with its provided amount of spaces including in a rounded shape. If the wall is created in the same space as a creature, the creature must roll Reflex against your potency or be placed on a side of the wall that you choose. If they succeed, they may choose which side to end up on. If this Power deals damage it is only dealt if the creature fails this save or somehow transverses a space of the wall (including through breaking it and moving through it's space before the damage duration ends).",Creation,1.5,2,1 EN to add 2 Health to the wall segments.,1,1,+1.5 EN to add 1 space to the wall's length.,1.5,1,,,,Power,false,false,false,
209,Block,"Block an attack by making a Power roll to hit, using the roll as your new evasion. This replaces your regular evasion for the attack, and you must use the result. This part cannot be lingered.",Defense,3,2,,,,,,,,,,Power,false,false,false,
210,Power Armor,"Create Power armor on target. Power armor negates 1 damage from physical and Power damage. Adding damage to Power armor gives it the 'spiked' property, with the damage from spikes being the added damage. Elemental damage that is less effective against the element of the armor does half damage, while elemental damage that is effective against the armor type ignores its damage reduction. Power armor lasts 4 hours.",Defense,5,2," +4 EN, +1 TP for each increase of 1 damage reduction, to a maximum of 10 including armor already worn. ",4,2," +4 EN, +1 TP for each additional 4 hours of duration.",4,2,,,,Power,false,false,false,
211,Reflect,"When you are the target of an-Area of Effect Power, you may cause the creator of the Power to become the target instead, using your Power attack roll up to a certain energy amount of the reflected Power. Decide how much energy cost you wish to be able to reflect.",Defense,3,2,1.5 EN per 2 EN of the Power being reflected.,1.5,1,,,,,,,Power,false,false,false,
212,Deflect,"When you are the target of an-Area of Effect Power, you may choose a new target for the Power, using your Power attack roll up to half the range of the original Power. Decide how much energy cost you wish to be able to deflect.",Defense,1.5,2,1 EN per 2 EN of the Power being reflected.,1,1,,,,,,,Power,false,false,false,
213,Counter,"Cause the target Power in range to end immediately. Decide how much your Power can end before using, i.e. you decide your Power can negate 30 EN and below Powers. This makes the cost of deflect 4 + 20 (1.5 of 30).",Defense,4,2,1.5 EN per 2 EN target spent on Power.,1.5,1,,,,,,,Power,false,false,false,
214,Absorb,"Absorb energy from the target Power. Every 2 EN the user paid for that Power costs +1.5 EN to absorb. If you're unable to pay the full cost of the Power to absorb, you absorb up to the amount you have but still get affected by the Power. If the Power deals damage, you may reduce that damage by 1 for every 2 EN absorbed. You gain all absorbed energy at the end of your turn.",Defense,6,2,Every 2 EN the user paid for that Power costs +1.5 EN to absorb.,1.5,1,,,,,,,Power,false,false,false,
215,Negate,"1.5 EN per 2 EN target spent on Power. When a Power under the energy negation of this Power target's you, it has no effect. Decide how much your Power can end before using, i.e. you decide your Power can negate 30 EN and below Powers. This makes the cost of negate = 15 + 1.5*15 (half of 30) which equals 37.5.",Defense,11,2,1.5 EN per 2 EN target spent on Power.,1.5,1,,,,,,,Power,false,false,false,
216,Dispel,"Target a Power that has already been used, and has a duration longer than one round in an attempt to end that Power. If the Power you're attempting to dispel has more energy cost than you can dispel, you can instead attempt a Power attack roll against it in an attempt to dispel it, with a DS equal to 10 +1 for each 10 Energy that Power cost.",Defense,4,2,1.5 EN for each 2 EN of the Power being ended.,1.5,1,,,,,,,Power,false,false,false,
217,Permanent Dispel,No Powers can be used in or pass through the area while this Power occupies it. Any magical items become mundane while they occupy the same space as this Power. Any Power that is lingering or exists in the area is dispelled.,Defense,38,2,,,,,,,,,,Power,false,false,false,
218,Blessed,Target gains 1d2 to overcome when targeting others and when they target you (other than increasing evasion).,Defense,4,2,+2.5 EN for each additional +1d2.,2.5,1,,,,,,,Power,false,false,false,
219,Resistance,Target creature gains resistance to one damage type for the duration. You must choose the damage type when creating the Power.,Defense,4,2,"+4 EN, +1 TP for each additional damage type resistance. ",4,2,,,,,,,Power,false,false,false,
220,Minor Resistance,"Once each turn when you take a chosen non-physical damage type (Bludgeoning, slashing, or piercing), you reduce that damage by 1d2.",Defense,1,2,+0.5 EN for each additional 1d2.,0.5,1,,,,,,,Power,false,false,false,
221,Evasion Buff,Increase target's evasion by +1.,Defense,4,2,+3 EN for each additional +1 evasion.,3,1,,,,,,,Power,false,false,false,
222,Ward,"Target has -1 on D20 rolls and Potencies against you. Targets your choice of resolve, mental fortitude, or discernment.",Defense,2.5,2,+1.5 EN for each additional -1 decrease. ,1.5,1,,,,,,,Power,false,false,false,
223,Sanctuary,When a creature target's the target of this Power they must overcome your potency with resolve or be forced to choose a new target.,Defense,4,2,,,,,,,,,,Power,false,false,false,
224,Condition Resistance,Target gains +1 to overcome a specified condition.,Defense,1.5,2,+1 EN for each additional +1.,1,1,,,,,,,Power,false,false,false,
225,Condition Immunity,Target gains immunity to a specified condition. If you already have the condition you lose it.,Defense,6,2,+4 EN & 1 TP for each additional condition. ,4,2,,,,,,,Power,false,false,false,
226,Connected Creatures,A willing target is connected to you. Whenever it would take damage it takes half of that damage and you take the other half (after applying that target's resistances and damage reduction[s]).,Defense,7,2,+7 EN & 1 TP: Target's 1 unwilling creature and 1 willing creature. Whenever the willing creature would take damage it takes half of that damage and the unwilling creature take's the other half (after applying the willing target's resistances and damage reduction[s]).,7,2,,,,,,,Power,false,false,false,
