id,name,description,req_desc,ability_req,abil_req_val,skill_req,skill_req_val,feat_cat_req,pow_abil_req,mart_abil_req,pow_prof_req,mart_prof_req,speed_req,feat_lvl,lvl_req,uses_per_rec,rec_period,category,ability,tags,char_feat,state_feat
202,Empowered Rest,Regain an additional 1/4 of your Energy once per recovery period (up to a full recovery) provided some of your expended energy came from using an Empowered Technique.,,,,,,,,,1,1,,1,,1,Full,Utility,,"Powered Martial,Recovery",true,false
203,Empowered State,Add both your Power and Martial Proficiencies to Attacks and Potencies while in this state.,,,,,,,,,1,1,,1,,,,Offense,,,false,true
204,Empowered Teacher,"Choose an creature within 6 spaces, they can immdiately use an Empowered Technique you know, using their own Energy and Action Points instead. The technique can be any Action type but can still be used as a Reaction by the chosen creature. The cost of the technique given cannot exeed half of your Energy maximum.",,,,,,,,,,,,1,,1,Partial,Offense,,,false,false
205,Empowered Techniques,Reduce the Energy cost of Empowered Techniques by 2 to a minimum of 1.,,,,,,,,,,,,1,,,,Power,,"Powered Martial,Power,Technique,",false,false
206,Empowered Unarmed,"When determining your Attack Bonus and Damage when using unarmed prowess, you may utilize your entire Archetype Proficiency, not just Martial Proficiency, in calculations.",,,,,,,,,1,1,,1,,,,Power,,"Powered Martial,Unarmed,",false,false
207,Encouraging Demeanor,"When a willing creature within 12 spaces has its Evasion targeted by an attack, you may cause it to use a quick reaction and add 1d6 to its Evasion for the turn. Taking this feat again can increase the number of uses or the size of the die by 1d2.",,Charisma,2,,,,,,,,,1,,2,Partial,Support,,"Quick Reaction,Evasion Increase,Ally,",false,false
208,Encouraging Demeanor II,"When a willing creature within 12 spaces has its Evasion targeted by an attack, you may cause it to use a quick reaction and add 1d8 to its Evasion for the turn.",,Charisma,2,,,,,,,,,2,4,3,Partial,Support,,"Quick Reaction,Evasion Increase,Ally,",false,false
209,Endurance Hiding,"If you had the Hidden condition for at least 5 minutes before an encounter began, treat your Hide and Stealth scores as being 5 higher until you are detected.",,,,,,,,,,,,1,,,,Defensive,,,true,false
210,Endured Craftsman,You spend 12.5% less time crafting anything using Vitality for your Craft Skill or Sub Skill roll.,,Vitality,1,,,,,,,,,1,,,,Utility,Vitality,Crafting,true,false
211,Endured Craftsman II,You spend 25% less time crafting anything using Vitality for your Craft Skill or Sub Skill roll.,,Vitality,2,,,,,,,,,2,4,,,Utility,Vitality,Crafting,true,false
212,Energy Exchange,"Once each round, as a free action, you may use Energy to regain a feat's use, or spend a feat's use to regain Energy. For feats with Partial Recovery renewed uses of 1-3, the Energy equivalent is 10 per use; 4-6, it is 6; 7+, it is 4. For feats with Full Recovery renewed uses of 1, the Energy equivalent is 20; 2-3, it is 15; 4-6, it is 12; 7+, it is 8.",At least one feat with use(s),,,,,,,,,,,1,,,,Utility,,"Feat Uses,Energy,",false,false
213,Energy Parasite,"When you deal damage to a creature with a martial attack you may choose to have them make a Power or Martial Attack to Overcome your Potency. On a failed save, the creature loses Energy equal to 1/4 of the damage dealt, and you gain that much energy.",,,,,,,,,,,,1,,3,Partial,Utility,,"Energy Drain,Melee,",false,false
214,Energy Symbiote,"Once per round, as a free action, you may give another creature with this feat Energy equal to up to 1/4 of your total Energy pool. The Energy flavor should be such that it makes sense the Energy may be shared. Companions cannot have this feat.",,,,,,,,,,,,1,,,,Utility,,"Energy Share,Ally,",true,false
215,Enhanced Recovery,Receive +1/8 healing from any source.,,,,,,,,,,,,1,,,,Utility,,Healing Increase,false,false
216,Enlightened Defense,"As a quick action, you may increase your Evasion by 1/2 your Charisma for a round.",,Charisma,4,,,,,,,,,1,3,3,Full,Defensive,,"State,Evasion Increase,",false,true
217,Enlightened Defense II,"As a quick action, you may increase your Evasion by your Charisma for a round.",,Charisma,5,,,,,,,,,2,9,3,Full,Defensive,,"State,Evasion Increase,",false,true
218,Enlightened State,"Gain +1 to all Mental Defenses as well as +1 to all Mental Skill rolls. This includes Acuity, Intelligence, and Charisma.",,,,,,,,,,,,1,10,,,Utility,,"State,Mental Defense,Mental Skill,",true,true
219,Enmity Vow,"When you attack, you may also choose a creature within 6 spaces. Each martial attack roll you make against the chosen target for the next minute gains +1. If the creature dies before this minute ends, you may choose a different creature within 6 spaces to continue the effect against.",,,,,,,,,,,,1,,2,Partial,Offensive,,"Martial Attack,Attack Bonus,",false,false
220,Enmity Vow II,"When you attack, you may also choose a creature within 6 spaces. Each martial attack roll you make against the chosen target for the next minute gains +2. If the creature dies before this minute ends, you may choose a different creature within 6 spaces to continue the effect against.",,,,,,,,,,,,2,4,2,Partial,Offensive,,"Martial Attack,Attack Bonus,",false,false
221,Enmity Vow III,"When you attack, you may also choose a creature within 6 spaces. Each martial attack roll you make against the chosen target for the next minute gains +2. If the creature makes an attack roll, you may make a martial attack against it as a quick reaction if it is in range. If the creature dies before this minute ends, you may choose a different creature within 6 spaces to continue the effect against.",,,,,,,,,,,,3,6,3,Partial,Offensive,,"Martial Attack,Attack Bonus,Quick Reaction,",false,false
222,Evasive Footwork,"When you take the movement action for the second turn in a row, you gain +1 to your Evasion as long as you moved your full Speed on each of those turns. This persists until you are unable to move your entire Speed on your turn.",,Agility,2,,,,,,,,4,1,,,,Defensive,,"Evasion Increase,Movement,",false,false
223,Evasive Footwork II,When you take the movement action and move your full Speed with that action you gain +1 to your Evasion. This persists until you are unable to move your at least half of your Speed on your turn.,,Agility,3,,,,,,,,5,2,4,,,Defensive,,"Evasion Increase,Movement,",false,false
224,Experienced Endurance,"Anytime you roll for a skill that could use Vitality but with which you are not proficient, you may add your Vitality to the roll.",More than 1 Vitality Skill(s),,,,,,,,,,,1,,,,Utility,Vitality,Skill Roll,true,false
225,Experienced Eye,"When rolling an Acuity skill to perceive or search, if you are looking in a context you have previously encountered, such as a creature, area, environment, or situation, you may treat rolls with that Skill as one Success higher.",,,,,,,,,,,,1,,,,Utility,Acuity,"Perceive,Search",true,false
226,Experienced Support,"When using powers that cause a positive effect or enhance a target's capabilities, you may choose to decrease the cost of the power by 4 Energy upon using the Power, to a minimum of 1.",,,,,,,,,,,,1,,3,Partial,Utility,,"Power,Energy Cost Reduction,Buff,",false,false
227,Expert Pin,"When attempting to grapple, you may use Agility instead of Strength whenever relevant.",,Agility,2,,,,,,,,,1,,,,Control,Agility,Grappling,false,false
228,Exploit,"When attacking a creature with a negative condition, increase your attack roll by +1.",,,,,,,,,,,,1,,,,Offensive,,Attack Bonus,false,false
229,Exploit Expert,"When using powers that cause a negative effect or hinder a target's capabilities, you may choose to decrease the cost of the power by 4 Energy upon using the Power, to a minimum of 1.",,,,,,,,,,,,1,,3,Partial,Support,,"Power,Energy Cost Reduction,Debuff,",false,false
230,Exploit Shock,"When attacking an enemy who hasn't had a turn in combat, your critical multiplier increases by 1 for that attack.",,,,,,,,,,,,1,,2,Full,Offensive,,"Surprised,Critical Multiplier,",false,false
231,Explorer's Endurance,"You gain +3 to Fortitude when overcoming environmental effects (that occur naturally). such as adverse weather or temperature, elevation, pressure, and so on.",,"Fortitude, Vitality","2, 1",,,,,,,,,1,,,,Utility,Fortitude/Vitality,Environmental Effects,true,false
232,Explorer's Endurance II,"You gain +6 to Fortitude when overcoming environmental effects (that occur naturally). such as adverse weather or temperature, elevation, pressure, and so on.",,"Fortitude, Vitality","3, 2",,,,,,,,,2,4,,,Utility,Fortitude/Vitality,Environmental Effects,true,false
233,Exponential Growth,"You may grow by one size category, doubling your height and quadrupling your weight. While grown in this way, you add 1d2 to all damage you deal.",,,,,,,,,,,,1,,2,Full,Utility,,"State,Size Change,Damage Bonus,",false,true
234,Extended Reach,Your melee range increases by 1 space when using a weapon with two hands that is two-handed or versitile.,,,,,,,,,,2,,1,,,,Offensive,,"Two-Handed,Versatile,Melee Range Increase,",false,false
235,Eyes of the Hunt,Increase your Acuity by +1 in combat if you have not moved for more than 1 round. Persists until you move.,,"Acuity, Vitality","2, 1",,,,,,,,,1,,,,Ability Increase,Acuity,Stationary,false,false
236,Faith Healer,"When attempting to help heal or stabilize a creature using Medicine, you may use Religion in place of Medicine or use it as the base skill for Triage.",,,,Religion,,,,,,,,1,,,,Support,Charisma,"Heal,Skill",true,false
237,Familiar,"You have a Companion familar from the creature list or of your own creation using the creature creation rules. If it dies, you may re-summon it or find a new one after completing a Full Recovery. The familiar's level is equal to one-fourth of your own, rounded down, except at levels 1–3, where it follows a progression of 1/4, 1/2, and 3/4, respectively. The highest level the companion may reach is level 1.",,,,,,,,,,,,1,,1,Full,Companion,,Familiar,false,false
238,Familiar II,"You have a Companion familar from the creature list or of your own creation using the creature creation rules. If it dies, you may re-summon it or find a new one after completing a Full Recovery. The familiar's level is equal to one-fourth of your own, rounded down. The highest level the companion may reach is level 2.",,,,,,,,,,,,2,8,1,Full,Companion,,Familiar,false,false
239,Familiar III,"You have a Companion familar from the creature list or of your own creation using the creature creation rules. If it dies, you may re-summon it or find a new one after completing a Full Recovery. The familiar's level is equal to one-fourth of your own, rounded down. The highest level the companion may reach is level 4.",,,,,,,,,,,,3,12,1,Full,Companion,,Familiar,false,false
240,Familiar IV,"You have a Companion familar from the creature list or of your own creation using the creature creation rules. If it dies, you may re-summon it or find a new one after completing a Full Recovery. The familiar's level is equal to one-fourth of your own, rounded down. The highest level the companion may reach is level 8.",,,,,,,,,,,,4,20,1,Full,Companion,,Familiar,false,false
241,Familiar Recall,"If you have a Companion that has died, you may spend a basic action and at least 15 energy to touch it, bringing it back to 1 Health after one minute.",,,,,,,,,,,,1,,,,Companion,,"Familiar,Resurrection,Energy Cost,",true,false
242,Fanatical Focus,"When you fail to Overcome something with a Defense you may use a free reaction to add your Strength to the Defense, potentially allowing you to Overcome instead. You may only use this feat once per state.",,,,,,,,,,,,1,6,,,Defensive,,"State,Reaction,Defense Bonus,",false,true
243,Fast Hands,"When using Sleight of Hand or any of its Sub Skills, you can treat a successful result as one Success higher.",,,,Sleight of Hand,,,,,,,,1,,,,Utility,,Sleight of Hand,true,false
244,Favored Enemy,"Choose one creature type. Whenever you make a roll to Analyze, recall history or lore about, or Track a creature of this type, you gain +3 to the roll.",,,,,,,,,,,,1,,,,Utility,,"Analyze,Recall History,Track,Creature Type",true,false
245,Fight,"When you end your turn in Terminal, you may gain 1 additional Action Point.",,,,,,,,,,,,1,,3,Partial,Utility,,"Action Point,Terminal,",false,false
246,Find the Chink,"When attacking a target while you're Hidden, you ignore up to 2 points of Damage Reduction.",,,,,,,,,,,,1,,,,Offensive,,"Unseen,Armor Penetration,",false,false
247,Fine Art,When crafting items using the Art skill you may choose to increase the Difficulty Score to craft by 1 to increase the market currency value by 50%.,,,,,,,,,,,,1,,,,Utility,,"Currency,Craft",true,false
248,Flawless Fighter,1-2 on your damage dice are always a 2.,,,,,,,,,,2,,1,,,,Offensive,,Damage Dice,false,false
249,Fleeting Feeling,Increase your Speed by +2 for every enemy in your Melee Range at the start of your turn. This lasts for one round.,,Agility,3,,,,,,,,5,1,,,,Movement,Agility,"Speed Increase,Melee,Enemy Count,",false,false
250,Flight,"While in Terminal, increase your Speed by +1/2.",,Agility,2,,,,,,,,5,1,,,,Movement,Agility,"Speed Increase,Terminal,",false,false
251,Focus State,"While focusing on or sustaining a power, you gain +2 to your Evasion and on rolls to maintain focus. Sustain costs 1 less action point per turn to a minimum of 1.",,,,,,,,,,,,1,,,,Utility,,"State,Focus,Evasion,Action Point Cost",false,true
252,Focused Aim,"When you would fail to Overcome with an attack roll, you may spend 3 Energy to increase the roll by +1 potentially causing it to hit instead. Do this for each 3 Energy you spend, to a maximum of +3 to hit from this feat.",,,,,,,,,,,,1,,,,Offensive,,"Energy Cost,Attack Bonus,",false,false
253,Focused Aim II,"When you would fail to Overcome with an attack roll, you may spend 3 Energy to increase the roll by +1 potentially causing it to hit instead. Do this for each 3 Energy you spend, to a maximum of +5 to hit from this feat.",,,,,,,,,,,,2,4,,,Offensive,,"Energy Cost,Attack Bonus,",false,false
254,Focused Brutality,"When you make an attack with a melee weapon, you may choose to decrease your Evasion by 3 for a round and deal 1d10 more damage of the attack's type. You must choose to do this before you roll to attack.",,,,,,,,,,,,1,,,,Offensive,,"Melee Weapon,Evasion Decrease,Damage Increase,",false,false
255,Focused Brutality II,"When you make an attack with a melee weapon, you may choose to decrease your Evasion by 5 for a round and deal 2d10 more damage of the attack's type. Instead you may choose to decrease your Evasion by 2 for a bonus of 1d10 damage instead. You must choose to do this before you roll to attack.",,,,,,,,,,,,2,4,,,Offensive,,"Melee Weapon,Evasion Decrease,Damage Increase,",false,false
256,Focused Fighting,"While you maintain focus on or sustain a power, you can make a martial attack using 1 less Action Point once per turn.",,,,,,,,,,,,1,,,,Offensive,,"Martial Attack,Quick Action,Focus,Sustain",false,false
257,Focused Summoner,"When focusing on a Power with a Summon power part, you gain +5 to rolls to maintain focus.",,,,,,,,,,,,1,,,,Summoning,,"Power,Focus,Summon,",false,false
258,Forceful Blow,"When you deal damage equal to or more than the maximum damage that attack could normally deal, either through feats, powers, techniques, or outside modifers or help, you may choose to push the target back 2 spaces as an interaction. You may also choose to move up to 2 spaces toward the target after knocking it back as part of this interaction.",,,,,,,,,,,,1,,,,Offensive,,"Damage,Push,Movement,",false,false
259,Forceful Challenge,"When you deal damage to a target for the first time, you may choose to cause that target to have a -2 to hit and damage all targets that are not you for the next minute, targeting Resolve.",,,,,,,,,,,,1,,,,Control,,"Weakness,Resilience,",false,false
260,Forklift,You are considered one size larger when determining your carrying capacity.,,,,,,,,,,,,1,,,,Utility,Strength,Lifting,true,false
261,Fortified,"While in Terminal, increase your VIT by +1/4.",,Vitality,2,,,,,,,,,1,,,,Ability Increase,Vitality,Terminal,false,false
262,Fortified II,"While in Terminal, increase your VIT by +1/2.",,Vitality,3,,,,,,,,,2,4,,,Ability Increase,Vitality,Terminal,false,false
263,Fortified III,"While in Terminal, double your Vitality.",,Vitality,4,,,vitality,,,,,,3,10,,,Ability Increase,Vitality,Terminal,false,false
264,Fortitude of the Wilds,"Upon aquiring this Feat, choose 3 damage types other than piercing, slashing, and bludgeoning; you are resistant to damage of those types chosen during this state.",,Vitality,2,,,,,,,,,1,,2,Partial,Defensive,,"State,Damage Resistance,",false,true
265,Free-Blasting,"As a quick action, you may make a power attack against a creature within 12 spaces, dealing 1d8 magic damage.",,,,,,,,,,,,1,,,,Offensive,,"State,Power Attack,Magic Damage,",false,true
266,Friend of Beasts,"Choose a species of animal or beast such as canine, equine, feline, etc. When rolling Beastcraft with creatures of this species, treat any amount of failures as one success instead.",,,,,,,,,,,,1,,,,,,,true,false
267,Frightening Critical,"When an ally within 24 spaces Overcomes (either avoids getting or ends) the Charmed or Frightened condition on themselves, you may use a quick reaction to power attack another creature's Resolve within 24 spaces. On a success, the target gains the same condition that was Overcome, for 1 minute.",,,,,,,,,,,,1,,,,Offensive,,"Critical Hit,Frightened,",false,false
268,Frightening Twist,"When an ally within 24 spaces overcomes an effect that would or already has Charmed or frightened them, you may use a quick reaction to make a power attack against another creature within 24 spaces' Resolve. On a success, that creature becomes charmed or frightened, depending on the condition that was overcome.",,,,,,,,,,,,1,,,,Control,,"Power Attack,Charm,Frighten,Quick Reaction",false,false
269,Frightful Aura,"When creature(s) start their turn within 2 spaces of you, you may choose to make them roll Resolve against your Potency. If they fail, they become Frightened 2 for one minute. While they are frightened this way, they have -2 to their Evasion. After Overcoming this effect, creatures cannot become frightened again this way for two rounds.",,,,,,,,,,,,1,,,,Control,,"State,Frightened,Evasion Debuff,",false,true
270,Gestalt Entity,"You no longer need to eat, drink, or breathe.",,,,,,,,,,,,1,15,,,Utility,,,true,false
271,Getting Cocky,"Each time you reduce a creature to 0 Health, increase your Charisma by +1 for two rounds, to a maximum of +3 from this feat.",,,,,,,,,,,,1,,,,Ability Increase,Charisma,Finishing Blow,false,false
272,Glorious Rest,"When you finish a recovery, you may overheal a number of Health equal to half your level plus half your archetype ability. 5 creatures of your choice who were part of that rest may overheal Health equal to 1/4 your level.",,,,,,,,,,,,1,,1,Full,Support,,"Partial Recovery,Overheal,Ally,",false,false
273,Glorious Rest II,"When you finish a recovery, you may overheal a number of Health equal to your level plus your archetype ability. 5 creatures of your choice who were part of that rest may overheal Health equal to half your level.",,,,,,,,,,,,2,4,1,Full,Support,,"Partial Recovery,Overheal,Ally,",false,false
274,Go for Broke,"You may choose to gain +3 to an ability for one round. When the round ends, you have -3 on all D20 rolls for the next round.",,,,,,,,,,,,1,,1,Partial,Utility,,Ability Bonus,false,false
275,Goading Strength,You may use Strength instead of Charisma to determine your Taunt Skill Bonus.,,,,Taunt,,,,,,,,1,,,,Utility,Strength,Taunt,true,false
276,Granted State,When you activate this state you may choose a creature who can see or hear you within 12 spaces to gain this state instead. As part of the same action you can spend 2 state uses to activate it on yourself as well.,,,,,,,,,,,,1,,,,Support,,"State,Ally,",false,true
277,Grasping Ground,"As a basic action, you may roll a power attack against the Might of each creature of your choice within 6 spaces. On a success, affected creatures gain the Immobile condition for one minute.",,,,,,,,,,,,1,,2,Partial,Control,,"Power Attack,Immobile,",false,false
278,Guarded Mind,"You have resistance to psychic damage. When you have the charmed or frightened condition, you can end it on yourself with a quick action.",,,,,,,,,,,,1,,3,Full,Defensive,,"Psychic Damage Resistance,Charm Immunity,Frighten Immunity,Quick Action",false,false
279,Guided Strike,"When you or a creature within 12 spaces fails an attack roll, you may grant it +6 to that attack roll as a quick reaction. If you use this effect for yourself, it takes no reaction.",,,,,,,,,,,,1,,2,Partial,Utility,,"Quick Reaction,Attack Bonus,",false,false
280,Guided Strike II,"When you or a creature within 18 spaces fails an attack roll, you may grant it +7 to that attack roll as a quick reaction. If you use this effect for yourself, it takes no reaction.",,,,,,,,,,,,2,,3,Partial,Utility,,"Quick Reaction,Attack Bonus,",false,false
281,Guided Strike III,"When you or a creature within 24 spaces fails an attack roll, you may grant it +8 to that attack roll as a free reaction. If you use this effect for yourself, it takes no reaction.",,,,,,,,,,,,3,,4,Partial,Utility,,"Quick Reaction,Attack Bonus,",false,false
282,Hamstring Blow,"When you deal damage equal to or more than the maximum damage that attack could normally deal, you may choose to give the target the Slow 2 condition for 1 minute using your potency to Overcome on subsequent turns.",,,,,,,,,,,,1,,,,Offensive,,"Damage,Speed Reduction,",false,false
283,Harder Hit,Increase the damage of any technique upon performing it by spending +1 Energy for each +1d2 to a maximum of +1d6.,,,,,,,,,,,,1,,4,Partial,Offensive,,"Technique,Damage Increase,Spend Energy,",false,false
284,Harder Hit II,Increase the damage of any technique upon performing it by spending +1 Energy for each +1d2 to a maximum of +1d12.,,,,,,,,,,,,2,4,6,Partial,Offensive,,"Technique,Damage Increase,Spend Energy,",false,false
285,Hardy Drinker,Increase your Fortitude by +6 when Overcoming effects of ingested substances.,,Fortitude,1,,,,,,,,,1,,,,Utility,Fortitude,Ingest,true,false
286,Harm or Heal,"You may spend a basic action to target a creature within 6 spaces and Heal it for 1d8 or, targeting its Fortitude, deal it 1d8 Light, Dark, Necrotic, or Spiritual damage on a success and half as much on a failure.",,,,,,,,,,,,1,,2,Partial,Utility,,"Heal,Damage,",false,false
287,Harm or Heal II,"You may spend a basic action to target a creature within 6 spaces and Heal it for 1d10 or, targeting its Fortitude, deal it 1d10 Light, Dark, Necrotic, or Spiritual damage on a success and half as much on a failure.",,,,,,,,,,,,1,,3,Partial,Utility,,"Heal,Damage,",false,false
288,Harm or Heal III,"You may spend a quick action or basic reaction to target a creature within 8 spaces and Heal it for 1d10 or, targeting its Fortitude, deal it 1d10 Light, Dark, Necrotic, or Spiritual damage on a success and half as much on a failure.",,,,,,,,,,,,1,,4,Partial,Utility,,"Heal,Damage,",false,false
289,Healer,"Whenever you roll dice to determine an amount healed by you to another, you may add your power proficiency to the healed amount once for each 1d12 equivalent of dice rolled (2d6, 3d4, etc., count as 1d12 equivalent).",,,,,,,,,,,,1,,,,Support,,"Power,Heal,Healing Increase,",false,false
290,Healer II,"Whenever you roll dice to determine an amount healed by you to another, you may add your Power Bonus to the healed amount once for each 1d12 equivalent of dice rolled (2d6, 3d4, etc., count as 1d12 equivalent).",,,,,,,,,,,,2,6,,,Support,,"Power,Heal,Healing Increase,",false,false
291,Healing Burst,"You may use a basic action to cause a number of targets, including yourself, equal to your power ability within 12 spaces which can see or hear you to overheal 2d6 Health.",,,,,,,,,,,,1,,2,Full,Support,,"Basic Action,Overheal,Ally,",false,false
292,Healing Reserves,"As a quick action, you may heal a creature within 6 spaces that you can see for a number of d4s. You have a pool of d4s equal to the uses of this feat.",,,,,,,,,,,,1,,3,Full,Support,,"Quick Action,Heal,Ally,",false,false
293,Healing Reserves II,"As a quick action, you may heal a creature within 6 spaces that you can see for a number of d4s. You have a pool of d4s equal to the uses of this feat.",,,,,,,,,,,,2,4,6,Full,Support,,"Quick Action,Heal,Ally,",false,false
294,Healing Reserves III,"As a quick action or reaction, you may heal a creature within 6 spaces that you can see for a number of d4s. You have a pool of d4s equal to the uses of this feat.",,,,,,,,,,,,3,9,10,Full,Support,,"Quick Action,Heal,Ally,",false,false
295,Health Exchange,"Once each round, as a free action, you may use Health to regain a feat's use. For feats with Partial Recovery renewed uses of 1-3, the Health equivalent is 12; 4-6, it is 8; 7+, it is 6. For feats with Full Recovery renewed uses of 1, the Health equivalent is 22; 2-3, it is 17; 4-6, it is 14; 7+, it is 10.",At least one feat with use(s),,,,,,,,,,,1,,,,Utility,,"Feat Uses,Health,",false,false
296,Heavy Hitter,"When you deal damage equal to 25% of a target's Health in one attack, you apply Stun 1 for one minute, if it's equal to 50% Health you apply Stun 2 for one minute instead. The target uses Fortitude to Overcome your Potency on subsequent turns.",,,,,,,,,,,,1,,,,Offensive,,"Damage,Stun,",false,false
297,Heavy Moving,"You can pull, push, shove, or heave items of at most double your carrying capacity a number of spaces equal to one half of your Athletic skill bonus as an interaction.",,,,,,,,,,,,1,,,,Utility,,Carry,true,false
298,Heightened Focus,"As a free reaction, you may add your Intelligence to a roll made to maintain focus. To use this feat you cannot be wearing armor or wielding a shield or weapon with a Strength requirement",,,,,,,,,,,,1,,4,Full,Utility,,"State,Focus,",false,true
299,Heroic Resilience,"During an encounter when you start your turn in Terminal, you heal an amount equal to your 1/2 of your Vitality.",,,,,,,,,,,,1,,,,Utility,,"Heal,Terminal,",false,false
300,Heroic Resilience II,"During an encounter when you start your turn in Terminal, you heal an amount equal to your Vitality.",,,,,,,,,,,,2,4,,,Utility,,"Heal,Terminal,",false,false
301,Heroic Resilience III,"During an encounter when you start your turn in Terminal, you heal an amount equal to double your Vitality.",,,,,,,,,,,,3,18,,,Utility,,"Heal,Terminal,",false,false
302,Hexxing,"When you reduce a creature's Ability by any amount, its Defense for that Ability decreases by an extra -1 for each -1 applied to the Ability. If you reduce a Defense directly (without affecting the Ability), apply an extra -1. If you reduce a Skill, double the reduction.",,,,,,,,,,,,1,,,,Control,,"Ability Decrease,Defense Reduction,",false,false
303,Hidden Natural Weapons,"As a quick action, you can grow a natural weapon for 1 minute. It deals 1d8 slashing, bludgeoning, or piercing damage, uses Strength for attack and damage, and you are proficient with it. If proficient in unarmed prowess, you may treat it as an unarmed prowess and may use Agility instead, and add +1d4 to your normal unarmed prowess damage instead.",,,,,,,,,,,,1,,,,Offensive,,"State,Natural Weapon,",false,true
304,Hidden Natural Weapons II,"As a quick action, you can grow a natural weapon for 1 minute. It deals 1d10 slashing, bludgeoning, or piercing damage, uses Strength for attack and damage, and you are proficient with it. If proficient in unarmed prowess, you may treat it as an unarmed prowess and may use Agility instead, and add +1d6 to your normal unarmed prowess damage instead.",,,,,,,,,,,,2,6,,,Offensive,,"State,Natural Weapon,",false,true
305,Hidden Natural Weapons III,"As a quick action, you can grow a natural weapon for 1 minute. It deals 1d12 slashing, bludgeoning, or piercing damage, uses Strength for attack and damage, and you are proficient with it. If proficient in unarmed prowess, you may treat it as an unarmed prowess and may use Agility instead, and add +1d8 to your normal unarmed prowess damage instead.",,,,,,,,,,,,3,8,,,Offensive,,"State,Natural Weapon,",false,true
306,Hidden Messages,"Choose an organization, similar archetype to your own, or other group of people. You may spend a minute to create hidden messages in semi-visible locations that only that group can decipher and spot. An investigation skill roll DS equal to your level + 10 can find the message but cannot interpret it.",,,,,,,,,,,,1,,,,Utility,,Hidden Message,true,false
307,Historian,When you fail a History skill roll you treat the Failure as one Success more.,,,,,,,,,,,,1,,,,,,,true,false
308,Hit ‘em while they're down,"When you hit a prone target with an attack, roll 1d10. On a 9-10 treat the hit as a Critical hit.",,,,,,,,,,,,1,,,,Offensive,,"Prone,Critical Hit,",false,false
309,Hit Em' Where They're Weak,Decrease your critical range by 3 against terminal foes.,,,,,,,,,,,,1,,,,Offensive,,"Critical Range,Terminal,",false,false
310,Honed Reflexes,"When you would be affected by an area of effect power or ability that targets your Reflexes, you take no damage if you succeed the defense roll, and half damage if you fail.",,Reflex,3,,,,,,,,,1,5,,,Defensive,Agility,"Area of Effect,Reflexes,",false,false
311,Horde Breaker,"When you make an attack against a creature within 1 space, you may use a quick action to make another attack against a different creature within 1 space of that creature. Reduce the multiple action penalty for the second attack by 3.",,,,,,,,,,,,1,,,,Offensive,,"Quick Action,Multi-Attack,",false,false
312,Hyperextend,"You may gain 1 action point with no action, also gaining a level of exhaustion that cannot be reduced or prevented in any way.",,,,,,,,,,,,1,,3,Full,Utility,,"Action Point,Exhaustion,",false,false
313,Hysteria,Your Strength increases by +1 for every 2 enemies in your melee range.,,Strength,2,,,,,,,,,1,,,,Ability Increase,Strength,"Melee,Enemy Count,",false,false
314,I'm Not Dead Yet!,"When in Terminal, increase all rolls to Overcome by +2.",,,,,,,,,,,,1,,,,Utility,,"Terminal,Overcome Rolls,",false,false
315,I've Got the High Ground,"When attacking a target that is one space or more below you, increase your attack roll by +3.",,,,,,,,,,,,1,,,,Offensive,,Attack Bonus,false,false
316,Ignorance is Bliss,"You may increase your Charisma by +1 and decrease your Acuity by the same amount for each use of this feat used, for one round.",Intelligence of at most 0,,,,,,,,,,,1,,2,Full,Ability Increase,Charisma,Ability Decrease,false,false
317,Ignorance is Bliss II,"You may increase your Charisma by +2 and decrease your Acuity by the same amount for each use of this feat used, for one round.",Intelligence of at most 0,,,,,,,,,,,2,4,2,Full,Ability Increase,Charisma,Ability Decrease,false,false
318,Ignorance is Bliss III,"You may increase your Charisma by +2 and decrease your Acuity by the same amount for each use of this feat used, for one round.",Intelligence of at most 0,,,,,,,,,,,3,6,4,Full,Ability Increase,Charisma,Ability Decrease,false,false
319,Illusion to Reality,"When you use a non-innate power with an Illusion part, you can choose one inanimate, non magical object that is part of the illusion and make that object real as a quick action. The object remains real for 1 minute, during which it cannot deal damage or cause any conditions or effects.",,,,,,,,,,,,1,14,,,Utility,,"Power,Illusion",true,false
320,Immovable Force,"When you would be affected by an area of effect power or ability that targets your Might, you take no damage if you succeed the defense roll, and half damage if you fail.",,Might,3,,,,,,,,,1,5,,,Damage Reduction,Strength,Area of Effect,false,false
321,Impasta,When crafting consumables using the Cook Skill you may add negative Power effects or poison damage costing up to 6 Energy for free with the requirement that it must be ingested by a creature to take effect.,,,,Cook,,,,,,,,1,,,,Offense,"Intelligence, Acuity","Poison,Skill,Cooking,",true,false
322,Impenetrable,"When wearing armor with a Vulnerability property and taking that damage type, you may apply the armor's regular damage reduction to that damage.",,,,,,,,,,,,1,,3,Full,Defensive,,"Armor,Vulnerability,Damage Reduction,",false,false
764,Impenetrable II,"When wearing armor with a Vulnerability property and taking that damage type, you may apply the armor's regular damage reduction to that damage.",,,,,,,,,,,,2,4,6,Full,Defensive,,"Armor,Vulnerability,Damage Reduction,",false,false
323,Expose to Power,When you deal damage to a creature with a martial attack increase your Power Potency and Power Bonus by 3 the next time you attack the target with a Power.,,,,,,,,,1,,,1,,,,Offensive,,"Martial Attack,Power,Defense Reduction,",false,false
